DEP,PC1 (1),PC2 (1),PC3 (1),PC4 (1),PC5 (1),PC6 (1),PC7 (1),PC8 (1),PC9 (1),PC10 (1),PC11 (1)
"0",-0.82563,0.49441,1.04957,0.24464,-0.60023,-0.76891,0.50283,0.22232,-0.86067,0.04337,-0.59368
"0",1.35926,1.92347,0.78452,-0.69371,1.00675,0.11001,1.89362,1.16028,-0.93410,0.52158,-0.52774
"0",-0.39284,0.91033,-1.83719,-0.63438,-0.94898,-0.06478,0.50532,-0.20291,-0.46470,0.01573,1.39170
"0",0.32995,0.06356,0.26142,-0.22661,1.10598,-0.50557,0.96985,1.16585,-0.34598,-0.11733,-1.05923
"0",-0.29310,0.17276,-0.15714,0.13331,-1.48388,-0.18085,0.02676,-0.74330,0.33476,-0.39649,-0.23533
"0",0.56023,0.92452,1.54875,0.18848,-0.32379,-0.41508,0.69240,-0.65980,-0.19459,0.03528,-0.02215
"0",1.46418,0.66596,0.64693,0.90537,-1.38000,-0.47899,0.99810,0.56111,-0.34267,0.94324,-0.91158
"0",-3.21208,0.81549,-1.27818,-2.28320,1.41990,1.73842,0.45976,-0.25795,0.71361,0.11796,-0.25669
"0",-3.10332,-0.03281,-0.08441,0.06825,-0.94372,2.45722,0.06842,-0.51787,0.74287,1.43833,-0.33064
"0",-0.06213,-0.64303,-1.09795,-0.72289,1.43800,-0.30561,-0.20895,0.24489,-0.42683,-0.50068,0.76697
"0",4.14783,-1.92615,0.42596,0.06676,-0.59851,-0.93803,-0.92274,-0.19947,0.20357,0.14148,0.47758
"0",0.66102,0.13014,1.43981,0.81125,-1.20271,0.45727,0.16914,-0.37093,-0.96171,-0.14718,0.10621
"0",-0.51437,-1.82833,-0.37878,1.88408,1.20612,-1.95518,0.53403,0.50935,0.38175,0.28370,0.04487
"0",1.44820,-0.30611,-0.76068,-1.81173,0.04615,0.36710,-0.39882,0.37411,-0.79180,0.43529,-0.20584
"0",-0.07319,0.00588,1.53949,-0.05307,-0.41939,-0.50293,-0.12834,-0.70567,-0.51735,0.33825,-0.36252
"0",0.45264,0.20666,1.69373,-0.67615,-1.25347,0.15231,-0.11563,0.33255,0.05366,-0.84660,0.05578
"0",-0.64379,-1.34200,-1.24431,0.47840,0.78763,0.71341,0.41702,0.64361,1.13902,-0.18805,-0.53038
"0",0.83386,-1.37955,-2.22817,0.53843,0.65081,-0.21427,0.01580,-0.56575,0.21181,1.60603,1.13768
"0",-1.05152,0.22454,-0.66572,-0.71800,0.48961,0.07485,0.27208,0.22941,-1.47282,-0.29137,0.41526
