DEP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
"1",2000.00000,0.00000,12514.79492,40168.12500,121.33334,64.66666,-0.18431,2.88834,-0.10623,4.46690,1073.58167
"1",2000.00000,751.94116,2212.01685,834.20380,118.00000,174.00000,-0.47944,3.17094,0.53722,5.76623,6200.66553
"1",2000.00000,608.02527,1151.76025,1888.50916,85.00000,143.00000,-0.31245,3.09503,0.59181,5.72634,7230.43457
"1",2000.00000,1917.08130,147.46779,27369.08398,151.66667,33.00000,0.85556,3.41245,1.77059,5.76933,1595.10803
"1",2000.00000,589.87115,442.40338,27949.32813,170.00000,98.33334,0.88142,3.50174,1.79385,5.80810,1452.38928
"1",2000.00000,834.20380,466.33411,27473.37109,133.33333,192.33333,0.84274,3.41260,1.73309,5.74587,1967.46570
"1",2000.00000,208.55095,208.55095,26903.88086,155.66667,92.33334,0.29256,3.14591,1.47471,5.34669,147.46779
"1",2000.00000,0.00000,1259.96533,28077.03125,145.00000,82.00000,0.24997,3.16016,1.59566,5.37129,0.00000
"1",2000.00000,147.46779,0.00000,23413.96484,118.00000,164.33333,0.58758,3.30343,1.56839,5.56616,608.02527
"1",2000.00000,659.49597,329.74799,25304.37305,134.33333,52.33333,0.69436,3.31802,1.65030,5.56453,1123.08118
"1",2000.00000,442.40338,0.00000,26412.79492,133.33333,85.00000,0.95354,3.46245,1.72262,5.77090,659.49597
"1",2000.00000,0.00000,0.00000,28289.99609,133.33333,55.00000,0.89448,3.36121,1.74525,5.69749,625.65283
"1",2000.00000,442.40338,147.46779,27012.37891,170.00000,61.00000,0.95359,3.46251,1.72261,5.77132,442.40338
"1",2000.00000,0.00000,0.00000,27603.27539,106.00000,153.33333,0.89450,3.36123,1.74532,5.69758,294.93558
"1",2000.00000,442.40338,147.46779,26008.31836,106.00000,63.00000,0.78826,3.38864,1.59322,5.60762,1073.58167
"1",2000.00000,417.10190,294.93558,28589.74023,133.33333,40.33333,0.81379,3.31705,1.75614,5.67286,859.87756
"1",2000.00000,944.25458,737.33893,28634.96484,133.33333,33.00000,0.74237,3.35623,1.85859,5.73000,737.33893
"1",2000.00000,1318.99194,417.10190,28229.20313,133.33333,40.33333,0.74236,3.35619,1.85837,5.72984,1063.40540
"1",2000.00000,1865.33643,531.70270,28036.33789,106.00000,44.00000,0.84243,3.39961,1.87460,5.78852,737.33893
"1",2000.00000,2126.81079,294.93558,27776.05859,101.33334,93.33334,0.84730,3.42291,1.78488,5.78194,417.10190
"1",2000.00000,608.02527,4776.22656,102112.68750,210.33333,101.66666,0.26711,2.96259,0.84666,4.87623,11216.28027
"1",2000.00000,0.00000,3904.41675,29554.32617,210.33333,28.00000,0.30361,3.40031,0.74774,5.67000,0.00000
"1",2000.00000,9120.37891,2400.60156,96024.07031,162.66667,203.00000,-0.11679,2.88815,0.45881,4.65755,737.33893
"1",2000.00000,9295.15137,8640.40430,93559.79688,155.66667,108.00000,-0.58270,2.87387,0.53267,4.48694,1123.08118
"1",2000.00000,0.00000,8867.70801,8849.29590,102.66666,67.00000,0.70817,3.82087,1.61869,5.42643,9086.93555
"1",2000.00000,2625.58936,294.93558,27501.06250,109.00000,162.66667,0.91509,3.45641,1.73618,5.80611,329.74799
"1",2000.00000,2707.14868,208.55095,27186.91797,133.33333,85.00000,0.98023,3.48425,1.77934,5.85000,625.65283
"1",2000.00000,2382.41504,1939.63599,19568.81445,157.66667,120.66666,-0.62284,2.87366,1.43920,4.88595,1539.60889
"1",2000.00000,208.55095,0.00000,23890.23633,101.33334,33.00000,-0.19783,2.64071,0.02046,3.82672,442.40338
"1",2000.00000,0.00000,0.00000,26152.15625,170.00000,57.33333,-0.02432,2.59834,0.53030,4.05680,2817.36816
"1",2000.00000,0.00000,4728.17676,10222.18848,85.00000,109.66666,0.89087,3.76388,1.75888,5.49146,11902.03027
"1",2000.00000,0.00000,1567.60413,52726.07813,121.33334,79.66666,-1.03638,2.69653,0.17721,3.50690,2967.73193
