DEP,PC10,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"0",0.00043,0.11924,-0.37634,-0.55729,0.25167,0.47411,-1.27480,0.53025,-1.14423,-0.03618
"0",-0.00096,-0.09669,-0.05733,-0.20015,0.57705,0.52584,1.86912,0.34756,-0.07797,-0.13651
"0",-0.00053,0.07380,0.68716,0.51209,0.23823,0.04375,-1.62664,0.11119,0.02783,0.10284
"0",-0.00032,0.10545,-0.15147,0.10690,-1.07013,-0.19982,1.29816,-0.89747,0.36300,-0.28378
"0",0.00035,0.17011,-0.43925,-0.32667,-0.68157,0.50277,0.78409,-0.52594,0.66656,-0.20416
"0",0.00121,-0.15342,0.33661,-0.09673,-0.32360,0.86375,1.60890,-0.38427,0.14720,-0.04420
"0",0.00025,0.17169,0.27837,0.13626,-0.68731,-0.07694,0.32567,-1.09217,0.43972,-0.20712
"0",0.00022,-0.19128,-0.39755,0.19007,-0.93526,1.11202,0.39881,-0.46314,0.55956,0.13903
"0",-0.00008,0.15754,0.56686,0.00078,-0.77061,0.41989,1.64160,-0.59223,0.39696,-0.28486
"0",0.00174,-0.16171,-0.53964,0.34976,-0.75232,0.61462,-0.99963,-0.35647,-0.02794,0.19202
"0",0.00098,0.14635,0.14658,0.30174,-0.09389,0.27023,1.04491,-0.83432,-0.43763,-0.28767
"0",-0.00033,0.00965,0.40685,0.60363,-0.01635,-0.94600,1.07005,-0.49448,0.03776,-0.23383
"0",-0.00014,0.01609,0.26885,0.68108,-0.06946,0.06085,-0.20139,-0.42741,0.29724,-0.01231
"0",-0.00037,0.01345,0.17060,0.62344,0.29644,-0.31100,0.80127,-1.01653,-0.01732,-0.18186
"0",0.00185,-0.05845,0.52174,-0.25948,0.16155,0.24323,0.58647,0.11317,-1.43814,-0.13240
"0",-0.00004,0.07972,0.40349,0.50849,0.21977,0.03473,-0.43243,-0.04595,-0.11425,-0.04882
"0",-0.00018,0.36840,0.47972,-0.77826,-1.11918,-1.05479,0.53634,-0.41577,0.10064,-0.45299
"0",-0.00017,0.15567,0.05166,0.30787,-0.40885,0.03087,-0.32019,0.94161,0.53571,-0.06126
"0",-0.00067,-0.06899,-0.40693,-0.15556,-0.44548,0.33845,0.56453,-0.87557,0.40506,-0.04471
"0",-0.00013,-0.20822,-0.40051,-0.90730,0.73719,-0.05932,0.68183,1.76819,-1.52512,-0.04597
"0",0.00088,0.21165,-0.16210,-0.27870,0.80218,0.78966,0.54099,1.30229,-1.22380,-0.24649
"0",-0.00072,-0.14995,0.04932,-0.23132,-0.06562,0.07152,-0.41290,-1.34196,-0.53848,0.03657
"0",-0.00050,0.17078,-0.32165,-0.64679,0.19991,-0.56597,-1.49541,-0.08312,-0.77602,-0.11782
"0",-0.00006,0.14712,-0.28752,0.26470,0.52613,-0.02882,-1.33658,-1.27945,-1.51770,-0.14451
"0",-0.00074,0.17464,-0.38580,-0.60763,0.02906,-0.45094,-0.32683,-0.25984,-0.83443,-0.24623
"0",-0.00005,0.04471,0.31163,-2.61547,-0.18478,-0.36476,0.30492,1.36417,-0.59403,-0.16319
"0",0.00045,0.21942,0.54935,0.74851,-1.00303,0.37029,-1.08579,-1.00086,-0.17807,-0.08181
"0",0.00039,0.05122,0.05916,0.29969,-0.70826,-0.45157,0.36196,-1.26699,-0.56690,-0.22446
"0",-0.00101,0.12170,-0.58307,-0.12133,0.80191,-0.08200,-0.72491,-1.19748,-1.38452,-0.19494
"0",0.00141,0.17756,-0.06908,-0.00080,-0.46728,0.44357,-1.89931,-0.36411,-0.96707,-0.01464
"0",0.00188,0.00556,0.20794,-0.80035,-1.50285,-0.45372,3.18394,-1.47387,-0.96285,-0.53886
"0",-0.00038,0.00267,0.37833,0.94876,-0.21983,1.11566,0.16613,0.04308,0.93972,0.09421
"1",0.00186,0.08865,0.94952,-1.02538,0.60902,1.37145,-1.20150,-1.73742,5.17679,0.41550
"1",0.00054,-0.16794,-0.84565,-0.16426,0.63149,0.72316,-1.76823,-1.16689,0.69927,0.30793
"1",0.00066,-0.19716,-0.79489,-0.44827,0.60771,-0.49058,0.62120,-1.34516,0.38719,-0.04284
"1",-0.00024,-0.15202,0.10207,0.53897,-0.08056,0.53090,-1.51097,-0.35599,-2.13265,0.12151
"1",0.00109,-0.09633,-0.31006,-0.44952,1.07320,-0.16427,0.28226,-1.41214,0.56263,-0.03173
"1",0.00127,0.01939,-0.29536,-0.46215,1.16582,-0.11149,0.30046,-1.44052,0.69819,-0.10356
"1",0.00104,-0.08032,-0.15939,-0.39926,1.35753,0.15898,-0.55593,-1.41967,0.87308,0.09491
"1",0.00069,-0.13121,-0.73810,-0.57050,0.75635,-0.55836,1.08809,-1.43181,0.61703,-0.13134
"1",-0.00068,-0.11747,-0.56734,-0.04955,0.39577,0.45119,-1.24096,-1.26179,0.51477,0.18906
"1",0.00069,-0.17709,-0.84467,-0.14077,0.63809,0.35930,-1.08241,-1.23309,0.42700,0.19530
"1",0.00070,-0.19678,-0.73318,-0.54568,0.81597,-0.37012,0.88208,-1.43607,0.60026,-0.04942
"1",-0.00079,-0.17248,-0.61373,0.40274,0.43237,-0.78550,0.66422,0.00348,0.93590,-0.00464
"1",-0.00020,-0.06830,0.48252,0.60603,-0.79367,-0.20346,0.94206,-0.78559,-2.06006,-0.25342
"1",-0.00187,-0.01182,0.36537,0.21701,1.14455,-0.02159,-0.54066,-1.20787,2.06349,0.13263
"1",0.00223,0.06983,0.51388,-1.43233,0.58735,1.03681,-0.91199,-1.61781,4.98854,0.34911
"1",0.00090,0.09442,0.33310,-0.04071,-0.34428,0.99766,-1.25229,0.24384,-1.30197,0.02039
"1",0.00057,-0.13784,0.23595,0.21291,-0.30000,0.76958,-0.92489,-0.07825,-1.44566,0.11636
"1",0.00022,-0.16884,0.01138,-0.13836,-0.06735,0.64602,-0.93586,0.18801,-1.41408,0.13160
"1",0.00065,-0.17157,0.19879,-0.12242,-0.33638,1.07262,-1.46998,0.41862,-1.40431,0.23215
"1",0.00087,0.33445,0.32645,-0.06148,-0.35756,0.84043,-0.91054,0.21158,-1.30430,-0.19936
"1",0.00063,0.08132,0.19480,-0.09778,-0.34309,0.96895,-1.25871,0.33786,-1.38341,0.02194
"1",-0.00088,-0.14165,0.34796,0.36578,0.37147,0.23663,-1.09656,-0.98899,-0.11717,0.16624
"1",0.00148,0.17981,0.40275,-0.32884,1.20624,0.16130,-0.05009,-1.51916,2.19926,-0.04981
"1",0.00207,-0.14273,0.47032,0.64649,2.07337,-0.77332,-0.93933,-1.46615,0.92548,0.14049
"1",0.00185,-0.16075,0.15159,0.60304,1.66058,-1.06729,-0.23698,-1.51291,0.18424,-0.00144
"1",0.00199,0.12650,0.10355,0.64239,1.79678,-0.80258,-1.26795,-1.27784,0.42592,-0.05377
"1",0.00195,0.12749,0.04885,0.62872,1.76407,-0.98749,-0.66203,-1.44809,0.36002,-0.14297
"1",0.00189,-0.15554,0.17429,0.62149,1.66757,-0.97810,-0.64111,-1.45145,0.25718,0.05157
"1",0.00003,0.07591,0.44687,-0.05189,0.10964,1.34133,-1.45696,-0.43585,-1.31382,0.06769
"1",-0.00034,-0.10744,0.79937,0.46938,0.51722,0.39081,-1.11240,-1.07206,0.59798,0.21118
"1",-0.00028,-0.09505,0.24183,0.58601,-0.34916,0.78874,-0.93012,-0.44547,-1.96044,0.04994
"1",-0.00034,-0.15863,0.20800,0.21812,-0.05837,0.52547,-1.04598,-0.05707,-1.98570,0.09286
"1",-0.00019,-0.11593,0.60568,-0.07214,0.08837,1.32015,-0.74032,-0.62776,-1.25486,0.12823
"1",0.00003,0.14009,0.52448,-0.09107,0.09086,1.02583,-0.86669,-0.51021,-1.38696,-0.06949
"1",0.00003,0.28001,0.50572,-0.01509,0.13681,1.37522,-1.45643,-0.44132,-1.36702,-0.07626
"1",0.00017,0.14824,0.47835,-0.19780,0.03168,0.62706,-0.32472,-0.55018,-1.34555,-0.16376
"1",0.00056,-0.16904,0.23650,-0.13964,-0.41972,0.54760,-0.25051,0.11321,-1.25191,0.06378
"1",0.00077,0.00677,0.49582,-0.45386,-0.50050,0.24410,-0.45577,0.33873,-1.34723,-0.06012
"1",0.00027,-0.19111,0.02141,-0.59756,-0.39391,-0.34432,0.72697,0.23293,-1.42593,-0.10872
"1",0.00031,0.10281,0.34522,0.23369,-0.40518,0.91271,-0.87470,-0.14722,-1.01287,-0.01992
"1",0.00092,-0.13259,0.35676,-0.13822,-0.34275,0.98229,-1.23678,0.33588,-1.35434,0.17716
"1",0.00090,0.09046,0.33577,-0.05365,-0.34473,0.99807,-1.25023,0.26444,-1.31257,0.02279
"1",0.00091,-0.16823,0.35821,-0.14579,-0.34039,0.97761,-1.23794,0.32448,-1.34730,0.20231
"1",0.00091,-0.09055,0.34749,-0.09859,-0.34012,0.98452,-1.24355,0.27523,-1.32159,0.14896
"1",0.00061,0.19527,0.19782,-0.13790,-0.35262,0.80256,-0.91337,0.29719,-1.38981,-0.10990
"1",0.00218,0.01364,0.50018,0.86761,2.21564,-0.62902,-1.59645,-1.42071,0.74569,0.10361
"1",0.00186,-0.21702,0.04233,1.79038,0.23576,-1.27955,0.05680,0.25919,-1.28291,-0.05299
"1",0.00055,-0.18533,0.21071,-0.17079,-0.38489,0.52704,-0.25040,0.19921,-1.32596,0.07046
"1",-0.00045,-0.17995,-0.64054,-0.00895,0.29575,0.31727,-0.49596,-0.97459,-0.47270,0.08678
"1",-0.00040,-0.14935,0.77185,-0.22744,0.16168,0.52764,1.02996,-0.93941,-1.49578,-0.11654
"1",-0.00024,0.10661,-0.07257,-0.26348,0.68037,0.35393,-0.54076,-1.07548,-0.99345,-0.13429
"1",0.00005,0.09696,0.27999,-0.74853,-0.83390,-0.03597,-0.17420,-0.92325,0.51600,-0.09759
"1",-0.00101,-0.17653,-0.09260,0.50327,0.61043,1.03843,-0.68240,0.02903,-1.24446,0.15490
"1",-0.00122,-0.00299,-0.04123,-1.50320,1.55134,-0.78935,-2.11161,1.76908,2.94716,0.34103
"1",0.00102,-0.19793,-0.09931,-1.00445,1.22958,-0.72252,2.76012,-1.96552,5.71006,0.05006
"1",0.00180,0.04112,-0.99179,-0.88345,0.83347,-0.00287,-0.16619,-1.78587,2.40033,0.01556
"1",-0.00018,-0.14850,-0.05419,-0.56749,-0.28241,-0.45496,0.23331,-0.98384,-0.66615,-0.07918
"1",0.00002,0.01247,0.01531,-0.30790,0.87088,-0.52405,-1.39026,-1.21034,0.98008,0.08275
"1",-0.00026,0.19401,-0.55563,-0.51697,0.13448,-0.49349,-0.14486,-1.60854,0.36177,-0.24477
"1",-0.00013,-0.17483,-0.93073,-0.54712,0.69312,0.08972,-2.02095,-0.78007,1.67682,0.35953
