DEP,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
0,0.00039,0.02401,-0.02247,1.67183,1.24547,0.7067,-1.47684,0.42058,-0.21549
0,-0.00037,-0.14456,-0.61055,-0.23253,2.02156,0.14649,-0.18569,-0.14114,0.06318
0,-0.00038,0.16232,-0.84661,-0.25232,1.98224,0.8346,-0.11408,-0.10584,-0.24998
0,0.00059,0.06306,0.12514,-0.0095,2.35016,-0.42512,-0.35278,-2.11966,0.14586
0,0.00045,0.21484,-0.14999,0.15998,2.1381,-0.94959,0.4771,-1.46254,0.0629
0,-0.00029,0.18454,-0.85353,-0.21196,1.95045,0.20943,0.30012,0.03028,-0.18867
0,0,0.3358,-0.62398,-0.19734,1.92092,-0.90929,0.84142,-0.13871,-0.12591
0,-0.00034,0.0494,-0.76119,-0.32373,2.05845,-0.98941,0.24542,-0.16201,0.07917
0,-0.00075,-0.01615,-0.45298,-0.21194,1.77195,-1.18068,0.19752,-0.38189,0.1668
0,0.00006,0.20608,0.1555,1.14529,0.01241,0.56654,0.32125,-0.28276,-0.25122
0,-0.00119,-0.08041,-0.70372,1.72301,0.84159,-0.6383,-0.5961,-0.22003,0.07196
0,0.00171,-0.09284,0.31875,-0.68095,0.08088,0.0823,0.48593,0.0915,0.02433
0,-0.00042,0.31521,0.57355,-0.21775,-0.55345,0.86377,-0.3725,-1.21365,-0.29707
0,-0.00092,0.08807,0.56715,-0.31646,-0.78088,1.07905,-0.23301,-0.71446,-0.19828
0,-0.00032,0.35162,0.75894,0.19464,-0.63727,1.04164,-0.28155,-1.57257,-0.32019
