DEP,PC11 (1),PC10 (1),PC9 (1),PC8 (1),PC7 (1),PC6 (1),PC5 (1),PC4 (1),PC3 (1),PC2 (1),PC1 (2)
"1",0.00100,-0.06331,0.32110,-0.75299,0.46340,-0.86812,1.07664,-0.89519,0.74158,-1.11406,0.11476
"1",0.00071,0.22307,0.17228,-0.77689,0.42235,-0.63635,0.79310,-0.80866,0.73396,-1.17708,-0.14419
"1",0.00209,0.03315,0.58899,1.84313,-0.29066,2.10712,2.66292,-1.89811,-1.19600,0.89008,0.11342
"0",0.00140,0.14994,-0.08292,0.80679,-0.12747,1.12657,1.35274,-0.78688,-0.57390,-1.55188,-0.20073
"0",0.00054,-0.11634,0.07044,0.43064,0.19954,1.82585,1.56358,-1.06211,-0.93683,-1.15869,-0.01421
"0",0.00166,0.12205,-0.24515,0.72138,-0.21988,1.80793,0.38841,-0.22668,-0.72361,-2.10607,-0.37519
"0",0.00138,-0.13056,0.32968,1.03443,0.28017,2.61106,2.95976,-1.09149,0.22309,-1.81939,0.05111
"0",-0.00110,0.27927,-0.44230,0.61718,-1.08652,-0.07424,0.25789,-1.55903,0.20713,0.83221,-0.18533
"0",-0.00135,-0.17965,-0.09185,0.45483,0.77275,0.71028,-0.22579,-0.79487,0.12639,0.69731,0.05502
"1",0.00171,-0.22987,0.01636,1.15571,0.95480,0.65537,-0.53237,-0.19907,1.14739,-1.35824,-0.05755
"0",0.00093,-0.24353,-0.10267,0.01519,0.53781,0.66539,-2.68896,1.38211,-1.56478,0.30605,-0.18404
"1",0.00064,-0.15641,0.18383,-0.84078,0.41071,-0.24309,0.20936,-0.71996,0.58906,-1.11840,0.03654
"1",-0.00039,-0.15943,-0.66699,-0.16908,0.06830,-0.39988,0.13272,-1.43667,-0.22404,-0.46282,0.06402
"1",-0.00025,-0.11616,0.75166,-0.62835,0.36457,0.25137,-0.89364,-1.26691,-0.58380,-1.33890,-0.14640
"1",-0.00017,0.12040,-0.08340,0.08289,-0.30975,-0.45448,0.19901,-1.42247,-0.42305,-0.99884,-0.14859
"1",0.00002,0.10116,0.24366,-1.05326,-0.41399,-0.55449,-0.26475,-0.25530,-0.50086,0.31714,-0.09315
"0",-0.00038,-0.19299,0.21819,1.24290,-0.17336,-0.57885,-0.68828,0.96560,-1.20865,-0.04785,0.07354
"1",-0.00088,-0.15116,-0.10221,0.20380,0.72855,-0.54775,0.64389,-1.30968,0.41240,-0.99212,0.11672
"0",0.00179,0.14661,0.07197,-0.02179,-0.23351,0.16348,-1.00530,-1.49112,-0.83942,0.49088,-0.24738
"1",-0.00114,-0.00075,-0.02567,0.53581,-2.28462,-0.57602,1.26870,-0.67882,2.14375,3.17652,0.29278
"0",0.00226,-0.13772,0.54602,0.27580,-0.65139,-0.31643,-0.91614,-1.59366,-1.28845,2.58748,0.13836
"1",0.00112,-0.18921,-0.11019,0.17565,-1.22483,0.73007,-3.05088,-1.14984,-2.07186,5.51562,0.03117
"1",0.00187,0.05493,-1.01236,-0.07282,-1.06413,-0.49197,-0.45560,-1.70237,-1.13838,2.23956,-0.00135
"1",-0.00016,-0.12671,-0.09200,-0.84353,-0.35097,0.18699,-0.61293,-1.03716,-0.15278,-0.70873,-0.09751
"1",-0.00005,0.04188,0.07819,0.22577,-0.71415,1.77802,2.40066,-1.28405,-1.11963,1.10052,0.09122
"1",-0.00026,0.21215,-0.58082,-0.43765,-0.59565,0.21038,-0.22564,-1.37327,-0.75011,0.22680,-0.25347
"0",-0.00057,-0.06073,0.66005,0.15549,0.35373,-0.87277,-0.56828,1.49076,-1.20153,-0.35424,0.00657
"0",0.00251,-0.17724,0.07362,0.74355,-0.71370,0.38648,-1.14461,-0.81612,-0.67280,0.05634,-0.07794
"0",-0.00003,0.00599,-0.45979,-0.01711,0.06424,-0.23310,-0.15144,-1.15948,-0.33476,-0.70669,-0.10688
"0",0.00012,0.08917,-0.38899,0.06958,0.29311,-0.06620,-0.26510,-1.06259,-0.08351,-0.64192,-0.18201
