DEP,X11,X10,X9,X8,X7,X6,X5,X4,X3,X2,X1
"0",1.46275,-0.73429,2.41107,0.56377,3.89870,181.33333,85.00000,23072.59180,8757.91406,18344.71680,17580.83398
"0",1.49140,-0.66666,2.51611,0.35353,3.92268,139.33333,97.00000,15623.58008,8095.22656,14437.45215,15724.77637
"0",1.82281,-0.51290,2.82370,0.05853,4.12697,74.33334,170.00000,32590.92578,3246.26685,21545.90625,18163.78906
"0",1.98884,-0.84256,2.71733,0.00503,4.06818,110.00000,92.00000,31484.07813,6377.73193,5091.35693,16517.95508
"0",1.55762,-0.44881,3.08082,0.22157,4.14874,137.66667,170.00000,26387.21094,2068.93311,4906.62891,15088.00488
"0",1.62443,-0.20008,3.09717,0.58893,4.16357,162.33333,148.66667,23736.38672,2718.02100,10163.49121,13448.67090
"0",1.72527,-0.61592,3.12456,0.93149,4.15485,44.00000,162.66667,26047.82813,1042.31348,16266.76953,14593.87695
"0",1.77156,-0.56158,3.03913,0.46752,4.14325,150.66667,145.66667,20365.42773,2084.62695,2903.54932,12926.36816
"0",1.52138,-0.30729,3.17048,0.49614,4.13484,33.00000,130.66667,31247.16016,531.47766,10629.55273,11009.11914
"0",1.73488,-0.66136,3.22062,0.45053,4.21321,150.33333,170.00000,26991.28906,1846.98413,11211.53320,13335.91113
"0",1.45767,-0.43945,2.87177,1.02507,4.10622,33.00000,102.66666,28364.71680,2800.70215,5632.35156,14832.37988
"0",1.67959,-0.75776,2.84069,0.51698,3.83795,148.00000,157.66667,21957.46484,0.00000,10629.55273,14765.57520
"0",1.90799,-0.76542,2.72530,0.01505,3.93557,101.00000,170.00000,34637.75391,3758.11450,4576.69385,15302.49609
"0",1.88236,-0.65068,2.84667,0.07509,3.92985,98.33334,127.33334,34199.32031,2439.99316,5538.99121,17406.94727
"0",1.91530,-0.67726,2.73071,0.05770,3.96327,100.33334,157.66667,26478.04492,0.00000,6093.74609,13859.24121
"0",1.58008,-1.08690,2.66461,0.80472,3.79381,73.33334,145.00000,17007.92383,5324.98730,16442.14258,12694.84668
"0",1.88931,-0.78320,2.72786,0.08475,3.90206,78.00000,121.33334,32441.57617,4335.32227,8119.34717,13530.01563
"0",1.64412,-0.65782,3.01213,0.27418,4.22432,218.33333,162.66667,14209.90918,9854.13477,2358.48608,16121.86328
"0",1.75639,-0.49918,2.90586,0.19706,4.08714,156.66667,121.33334,47879.52734,8581.22168,9689.59180,12493.85645
"0",1.66169,-0.28674,2.97887,0.18700,4.17891,75.00000,145.66667,19734.71289,1451.77466,8155.39502,12680.29004
"0",1.48625,-0.71659,2.38857,0.17899,3.97235,40.33333,145.66667,28959.43750,12166.97266,25074.51758,12393.45313
"0",1.59204,-0.79015,2.53545,0.54701,3.88160,183.00000,133.33333,32525.85742,6928.05273,25379.85156,15795.08984
"0",1.69275,-0.66905,2.73855,-0.05516,4.00636,33.66667,127.33334,3038.83984,1667.70154,5011.78271,11283.97559
"0",1.64116,-0.57444,2.45536,-0.05033,3.94071,153.33333,106.00000,8856.59766,9361.11230,5613.02979,11533.46973
"0",1.59359,-0.87215,2.33581,-0.02416,3.73758,139.66667,106.00000,2937.03149,659.21692,4355.32373,12749.50000
"0",1.55529,-0.57695,2.55070,-0.11134,3.93056,159.66667,133.33333,10368.79199,7192.71777,8381.39258,14800.11719
"0",1.60813,-0.51806,2.83598,0.11184,3.88516,123.00000,133.33333,1250.77612,18484.54102,20303.98828,13472.07715
"0",1.61088,-0.91061,2.98975,0.20591,3.83506,158.33333,106.00000,23407.30664,1390.61963,0.00000,12676.86230
"0",1.53630,-0.78090,2.80382,0.15287,3.76140,110.00000,151.66667,15922.51074,1566.94067,1667.70154,13387.94727
"0",1.62463,-0.67723,2.30881,-0.13312,3.97338,137.00000,121.33334,442.21613,1031.83765,7746.85059,13917.12891
"0",1.44594,-0.80763,2.67397,0.42391,3.64038,149.00000,85.00000,13060.15039,5142.31445,5211.56738,13915.56738
"0",1.23349,-0.82387,3.12538,1.15774,4.07422,101.66666,223.00000,2245.21191,1774.99585,9694.07520,13781.41797
"0",1.92827,-0.55169,3.13053,0.22698,4.15633,96.33334,121.33334,48278.13281,531.47766,11623.54785,11853.07910
"1",3.24641,0.73747,3.85761,1.86017,4.72671,109.66666,92.00000,11947.11328,1390.61963,2399.58569,0.00000
"1",1.94206,-0.00780,2.69081,0.43309,3.96725,33.00000,97.00000,9883.85742,589.62152,5248.95654,0.00000
"1",1.90694,-0.08324,2.63594,0.46756,3.92899,33.00000,145.66667,8868.85645,1451.77466,6377.73193,0.00000
"1",1.32720,-1.23235,2.44354,-0.04330,3.80840,33.33333,92.00000,15137.60645,2578.54102,8666.88477,0.00000
"1",2.12335,-0.21605,2.64044,0.63261,3.97054,45.66667,145.66667,5780.84717,793.80225,7880.33057,0.00000
"1",2.21157,-0.11467,2.70097,0.76088,3.99674,83.00000,145.66667,5689.92383,531.47766,8172.69434,0.00000
"1",2.31970,-0.14066,2.67020,0.73210,4.06403,61.00000,121.33334,4848.71826,607.76794,7318.49512,0.00000
"1",2.00785,-0.01756,2.67441,0.52988,3.96481,57.33333,170.00000,8019.71973,1151.27283,7407.02881,0.00000
"1",1.90758,-0.17740,2.73142,0.02321,4.05108,49.66667,101.33334,10921.93262,531.47766,4274.75586,147.40538
"1",1.89912,-0.08656,2.63532,0.46373,3.92846,33.00000,106.00000,10024.64941,466.13675,5533.10400,0.00000
"1",2.01494,-0.02193,2.67398,0.53179,3.96130,33.00000,162.66667,7458.18799,737.02692,7917.46680,0.00000
"1",1.99061,-0.13404,2.67660,0.23377,4.34441,33.00000,133.33333,43304.32813,4879.98633,6722.71973,0.00000
"1",1.24566,-1.37811,2.68031,-0.04765,3.76312,68.00000,161.33333,18943.74219,1268.02905,7818.04541,1680.67993
"1",2.62251,-0.08717,2.90839,-0.07514,4.47416,82.00000,121.33334,23827.29492,988.82538,3164.92773,0.00000
"1",3.07220,0.86559,3.70601,1.75623,4.69411,100.33334,103.33334,7977.61426,3099.02075,3232.85229,0.00000
"1",1.42734,-1.03014,2.74900,0.37366,3.76906,120.66666,92.00000,18524.46484,5316.82031,13062.64551,0.00000
"1",1.41853,-1.06357,2.70043,0.21724,3.80254,40.33333,102.66666,18985.56055,3685.13452,11570.14844,0.00000
"1",1.42790,-0.92502,2.61295,0.16420,3.82343,33.00000,103.33334,17139.63867,5519.34229,13446.24707,0.00000
"1",1.37538,-0.99765,2.71441,0.25977,3.75644,28.00000,85.00000,18655.95508,6134.61475,14031.41309,0.00000
"1",1.42530,-1.03243,2.74843,0.37247,3.76708,207.00000,102.66666,18590.03320,5424.03711,13213.96973,0.00000
"1",1.38019,-0.99930,2.71496,0.26260,3.75790,88.00000,92.00000,18590.03320,5840.67676,13657.88574,0.00000
"1",1.94683,-0.72099,2.70717,0.05658,4.19572,33.66667,106.00000,16091.50977,1459.23877,4483.15967,0.00000
"1",2.66494,0.01095,3.00534,1.27989,4.45610,149.00000,133.33333,12680.29004,466.13675,5519.34229,1503.24585
"1",2.70044,-0.45477,2.42275,1.01793,4.03112,33.66667,120.33334,18524.46484,294.81076,943.85498,0.00000
"1",2.37868,-0.55873,2.34739,0.86539,3.93274,33.66667,141.66667,16546.86914,208.46269,1359.01050,0.00000
"1",2.44966,-0.48389,2.32558,0.82532,3.85345,132.00000,113.33334,18128.46484,1179.24304,531.47766,0.00000
"1",2.41981,-0.48414,2.32556,0.82258,3.85150,132.00000,120.33334,17337.52930,442.21613,737.02692,0.00000
"1",2.39987,-0.54880,2.34860,0.86772,3.93354,33.66667,130.66667,16810.03125,589.62152,737.02692,0.00000
"1",1.58500,-1.01548,2.77939,0.11929,3.82637,102.33334,103.33334,7516.22900,2110.52393,13184.33789,0.00000
"1",2.21917,-0.68609,2.86513,0.20674,4.15892,40.33333,103.33334,19355.62305,988.82538,3824.02637,466.13675
"1",1.30270,-1.24688,2.60573,-0.03207,3.82787,53.66667,103.33334,17218.68945,1259.43213,10062.50879,0.00000
"1",1.36573,-1.19089,2.51082,-0.06527,3.82117,33.00000,102.66666,15717.17383,4153.58984,11675.77148,0.00000
"1",1.60899,-1.07121,2.79549,0.06603,3.85387,40.33333,102.66666,6921.77734,988.82538,14305.15820,0.00000
"1",1.57683,-1.08546,2.71518,0.11224,3.81967,117.66666,103.33334,7228.87744,2245.21191,13129.01270,0.00000
"1",1.57962,-1.08401,2.71685,0.11118,3.82499,179.00000,85.00000,7319.97949,1916.26990,13382.26563,0.00000
"1",1.57360,-1.05046,2.70895,0.17766,3.82807,103.66666,145.66667,7318.49512,2903.54932,12515.57617,0.00000
"1",1.40564,-0.97398,2.74612,0.23177,3.75282,33.00000,121.33334,19249.24609,5365.63672,13250.09570,147.40538
"1",1.42847,-1.05569,2.75425,0.34521,3.80571,92.00000,120.33334,15755.83594,8338.50781,12529.45703,0.00000
"1",1.36051,-0.89807,2.63792,0.10405,3.75917,40.33333,162.66667,16415.03125,8123.36035,13445.43945,0.00000
"1",1.48855,-0.98802,2.81023,0.13764,3.76314,123.66666,102.66666,20699.83008,3246.26685,11055.40332,0.00000
"1",1.41851,-1.03642,2.74629,0.37357,3.76691,40.66667,92.00000,17996.74219,6049.01123,13835.70508,0.00000
"1",1.42468,-1.03252,2.74822,0.37295,3.76734,119.33334,92.00000,18458.07227,5525.24463,13306.55078,0.00000
